transaction,category,confidence,explanation
PARTY CONES CANDY ASSORTED,Food & Dining,0.9213,The model identified patterns in the keywords: 'party cones candy assorted'.
PICNIC BASKET WICKER SMALL,Food & Dining,0.9906,The model identified patterns in the keywords: 'picnic basket wicker small'.
ASSORTED COLOUR BIRD ORNAMENT,Shopping,0.9964,The model identified patterns in the keywords: 'assorted colour bird ornament'.
STAR DECORATION PAINTED ZINC ,Shopping,0.9579,The model identified patterns in the keywords: 'star decoration painted zinc'.
RETROSPOT LAMP,Medical,0.909,The model identified patterns in the keywords: 'retrospot lamp'.
"FANCY FONT BIRTHDAY CARD, ",Shopping,0.9968,"The model identified patterns in the keywords: 'fancy font birthday card,'."
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
HAND WARMER OWL DESIGN,Food & Dining,0.8408,The model identified patterns in the keywords: 'hand warmer design'.
HAND WARMER RED RETROSPOT,Bills & Utilities,0.8278,The model identified patterns in the keywords: 'hand warmer retrospot'.
RETROSPOT HEART HOT WATER BOTTLE,Bills & Utilities,0.9602,The model identified patterns in the keywords: 'retrospot heart water bottle'.
DOG BOWL CHASING BALL DESIGN,Food & Dining,0.9992,The model identified patterns in the keywords: 'bowl chasing ball design'.
CLOTHES PEGS RETROSPOT PACK 24 ,Shopping,0.9997,The model identified patterns in the keywords: 'clothes pegs retrospot pack'.
HAND OVER THE CHOCOLATE   SIGN ,Transport,0.99,Matched known merchant 'ola'.
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
TRAVEL SEWING KIT,Shopping,0.9985,The model identified patterns in the keywords: 'travel sewing'.
BLACK HEART CARD HOLDER,Bills & Utilities,0.8697,The model identified patterns in the keywords: 'black heart card holder'.
ASSORTED COLOUR BIRD ORNAMENT,Shopping,0.9964,The model identified patterns in the keywords: 'assorted colour bird ornament'.
PACK OF 60 PINK PAISLEY CAKE CASES,Food & Dining,0.9122,The model identified patterns in the keywords: 'pack pink paisley cake cases'.
60 TEATIME FAIRY CAKE CASES,Food & Dining,0.9998,The model identified patterns in the keywords: 'teatime fairy cake cases'.
PACK OF 72 RETROSPOT CAKE CASES,Food & Dining,0.9768,The model identified patterns in the keywords: 'pack retrospot cake cases'.
CHICK GREY HOT WATER BOTTLE,Food & Dining,0.9978,The model identified patterns in the keywords: 'chick grey water bottle'.
SMALL GLASS HEART TRINKET POT,Food & Dining,0.9199,The model identified patterns in the keywords: 'small glass heart trinket'.
ALARM CLOCK BAKELIKE IVORY,Bills & Utilities,0.6857,The model identified patterns in the keywords: 'alarm clock bakelike ivory'.
ALARM CLOCK BAKELIKE RED ,Bills & Utilities,0.7996,The model identified patterns in the keywords: 'alarm clock bakelike'.
ALARM CLOCK BAKELIKE ORANGE,Bills & Utilities,0.7319,The model identified patterns in the keywords: 'alarm clock bakelike orange'.
ALARM CLOCK BAKELIKE GREEN,Bills & Utilities,0.8878,The model identified patterns in the keywords: 'alarm clock bakelike green'.
HOT WATER BOTTLE TEA AND SYMPATHY,Food & Dining,0.9988,The model identified patterns in the keywords: 'water bottle sympathy'.
HAND WARMER BIRD DESIGN,Food & Dining,0.9656,The model identified patterns in the keywords: 'hand warmer bird design'.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
WHITE METAL LANTERN,Bills & Utilities,0.9395,The model identified patterns in the keywords: 'white metal lantern'.
CREAM CUPID HEARTS COAT HANGER,Food & Dining,0.9975,The model identified patterns in the keywords: 'cream cupid hearts coat hanger'.
EDWARDIAN PARASOL BLACK,Food & Dining,0.9746,The model identified patterns in the keywords: 'edwardian parasol black'.
EDWARDIAN PARASOL RED,Food & Dining,0.9091,The model identified patterns in the keywords: 'edwardian parasol'.
RETRO COFFEE MUGS ASSORTED,Food & Dining,0.9976,The model identified patterns in the keywords: 'retro coffee mugs assorted'.
SAVE THE PLANET MUG,Other,0.5367,Model confidence was low; classified as Other.
VINTAGE BILLBOARD DRINK ME MUG,Shopping,0.9958,The model identified patterns in the keywords: 'vintage billboard drink'.
VINTAGE BILLBOARD LOVE/HATE MUG,Shopping,0.9997,The model identified patterns in the keywords: 'vintage billboard love/hate'.
WOOD 2 DRAWER CABINET WHITE FINISH,Shopping,0.9984,The model identified patterns in the keywords: 'wood drawer cabinet white finish'.
WOOD S/3 CABINET ANT WHITE FINISH,Shopping,0.9901,The model identified patterns in the keywords: 'wood cabinet white finish'.
WOODEN PICTURE FRAME WHITE FINISH,Shopping,0.9937,The model identified patterns in the keywords: 'wooden picture frame white finish'.
WOODEN FRAME ANTIQUE WHITE ,Shopping,0.9755,The model identified patterns in the keywords: 'wooden frame antique white'.
KNITTED UNION FLAG HOT WATER BOTTLE,Other,0.4616,Model confidence was low; classified as Other.
RED WOOLLY HOTTIE WHITE HEART.,Shopping,0.9573,The model identified patterns in the keywords: 'woolly hottie white heart.'.
SET 7 BABUSHKA NESTING BOXES,Shopping,0.9466,The model identified patterns in the keywords: 'babushka nesting boxes'.
IVORY EMBROIDERED QUILT ,Shopping,0.9985,The model identified patterns in the keywords: 'ivory embroidered quilt'.
GLASS STAR FROSTED T-LIGHT HOLDER,Other,0.5288,Model confidence was low; classified as Other.
SET OF 3 BLACK FLYING DUCKS,Shopping,0.9846,The model identified patterns in the keywords: 'black flying ducks'.
SET OF 3 COLOURED  FLYING DUCKS,Shopping,0.9843,The model identified patterns in the keywords: 'coloured flying ducks'.
PACK OF 12 RED RETROSPOT TISSUES ,Bills & Utilities,0.945,The model identified patterns in the keywords: 'pack retrospot tissues'.
RED RETROSPOT MUG,Shopping,0.7796,The model identified patterns in the keywords: 'retrospot'.
BABUSHKA LIGHTS STRING OF 10,Food & Dining,0.9987,The model identified patterns in the keywords: 'babushka lights string'.
PIGGY BANK RETROSPOT ,Shopping,0.8347,The model identified patterns in the keywords: 'piggy bank retrospot'.
SET 7 BABUSHKA NESTING BOXES,Shopping,0.9466,The model identified patterns in the keywords: 'babushka nesting boxes'.
DOORMAT FAIRY CAKE,Shopping,0.9332,The model identified patterns in the keywords: 'doormat fairy cake'.
HAND WARMER RED RETROSPOT,Bills & Utilities,0.8278,The model identified patterns in the keywords: 'hand warmer retrospot'.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
HAND WARMER OWL DESIGN,Food & Dining,0.8408,The model identified patterns in the keywords: 'hand warmer design'.
STRAWBERRY CERAMIC TRINKET BOX,Shopping,0.9283,The model identified patterns in the keywords: 'strawberry ceramic trinket'.
PINK DOUGHNUT TRINKET POT ,Food & Dining,0.9996,The model identified patterns in the keywords: 'pink doughnut trinket'.
SILK PURSE BABUSHKA PINK,Shopping,0.9996,The model identified patterns in the keywords: 'silk purse babushka pink'.
HOT WATER BOTTLE TEA AND SYMPATHY,Food & Dining,0.9988,The model identified patterns in the keywords: 'water bottle sympathy'.
HOT WATER BOTTLE I AM SO POORLY,Other,0.5243,Model confidence was low; classified as Other.
CHOCOLATE HOT WATER BOTTLE,Transport,0.99,Matched known merchant 'ola'.
WHITE SKULL HOT WATER BOTTLE ,Food & Dining,0.9908,The model identified patterns in the keywords: 'white skull water bottle'.
SCOTTIE DOG HOT WATER BOTTLE,Food & Dining,0.9996,The model identified patterns in the keywords: 'scottie water bottle'.
HAND WARMER RED POLKA DOT,Food & Dining,0.7758,The model identified patterns in the keywords: 'hand warmer polka'.
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
HOMEMADE JAM SCENTED CANDLES,Food & Dining,0.9923,The model identified patterns in the keywords: 'homemade scented candles'.
BIRD HOUSE HOT WATER BOTTLE,Food & Dining,0.9976,The model identified patterns in the keywords: 'bird house water bottle'.
BOUDOIR SQUARE TISSUE BOX,Medical,0.8477,The model identified patterns in the keywords: 'boudoir square tissue'.
SKULLS SQUARE TISSUE BOX,Other,0.5863,Model confidence was low; classified as Other.
PHOTO FRAME CORNICE,Shopping,0.9976,The model identified patterns in the keywords: 'photo frame cornice'.
SILK PURSE BABUSHKA RED,Shopping,0.9995,The model identified patterns in the keywords: 'silk purse babushka'.
PICTURE DOMINOES,Shopping,0.9787,The model identified patterns in the keywords: 'picture dominoes'.
S/6 SEW ON CROCHET FLOWERS,Other,0.5698,Model confidence was low; classified as Other.
SCANDINAVIAN REDS RIBBONS,Shopping,0.6878,The model identified patterns in the keywords: 'scandinavian reds ribbons'.
BALLOONS  WRITING SET ,Shopping,0.9577,The model identified patterns in the keywords: 'balloons writing'.
JAM MAKING SET PRINTED,Food & Dining,0.9989,The model identified patterns in the keywords: 'making printed'.
LAVENDER INCENSE IN TIN,Food & Dining,0.9984,The model identified patterns in the keywords: 'lavender incense'.
TV DINNER TRAY VINTAGE PAISLEY,Food & Dining,0.7859,The model identified patterns in the keywords: 'dinner tray vintage paisley'.
SET OF 4 ENGLISH ROSE PLACEMATS,Food & Dining,0.993,The model identified patterns in the keywords: 'english rose placemats'.
SET OF 4 ENGLISH ROSE COASTERS,Food & Dining,0.6234,The model identified patterns in the keywords: 'english rose coasters'.
TRIPLE PHOTO FRAME CORNICE ,Shopping,0.9942,The model identified patterns in the keywords: 'triple photo frame cornice'.
FAMILY PHOTO FRAME CORNICE,Shopping,0.9988,The model identified patterns in the keywords: 'family photo frame cornice'.
MIRRORED DISCO BALL ,Shopping,0.9874,The model identified patterns in the keywords: 'mirrored disco ball'.
DISCO BALL ROTATOR BATTERY OPERATED,Bills & Utilities,0.7685,The model identified patterns in the keywords: 'disco ball rotator battery operated'.
SILVER LOOKING MIRROR,Shopping,0.9984,The model identified patterns in the keywords: 'silver looking mirror'.
LADIES & GENTLEMEN METAL SIGN,Shopping,0.9989,The model identified patterns in the keywords: 'ladies gentlemen metal sign'.
METAL SIGN HER DINNER IS SERVED ,Other,0.4863,Model confidence was low; classified as Other.
YOU'RE CONFUSING ME METAL SIGN ,Shopping,0.9613,The model identified patterns in the keywords: 'you're confusing metal sign'.
DOORMAT TOPIARY,Shopping,0.9986,The model identified patterns in the keywords: 'doormat topiary'.
BATHROOM METAL SIGN,Medical,0.9605,The model identified patterns in the keywords: 'bathroom metal sign'.
KITCHEN METAL SIGN,Shopping,0.9668,The model identified patterns in the keywords: 'kitchen metal sign'.
TOILET METAL SIGN,Medical,0.797,The model identified patterns in the keywords: 'toilet metal sign'.
METAL SIGN TAKE IT OR LEAVE IT ,Other,0.5648,Model confidence was low; classified as Other.
I'M ON HOLIDAY METAL SIGN,Food & Dining,0.6783,The model identified patterns in the keywords: 'holiday metal sign'.
GROW YOUR OWN BASIL IN ENAMEL MUG,Food & Dining,0.9802,The model identified patterns in the keywords: 'grow your basil enamel'.
SET/10 PINK POLKADOT PARTY CANDLES,Food & Dining,0.7855,The model identified patterns in the keywords: 'set/10 pink polkadot party candles'.
SET 20 NAPKINS FAIRY CAKES DESIGN ,Food & Dining,0.644,The model identified patterns in the keywords: 'napkins fairy cakes design'.
60 TEATIME FAIRY CAKE CASES,Food & Dining,0.9998,The model identified patterns in the keywords: 'teatime fairy cake cases'.
SET OF 6 T-LIGHTS SNOWMEN,Shopping,0.7698,The model identified patterns in the keywords: 't-lights snowmen'.
SET OF 6 T-LIGHTS SANTA,Shopping,0.8056,The model identified patterns in the keywords: 't-lights santa'.
SET OF 9 HEART SHAPED BALLOONS,Shopping,0.9835,The model identified patterns in the keywords: 'heart shaped balloons'.
SANDWICH BATH SPONGE,Food & Dining,0.9994,The model identified patterns in the keywords: 'sandwich bath sponge'.
APPLE BATH SPONGE,Food & Dining,0.9995,The model identified patterns in the keywords: 'apple bath sponge'.
STRAWBERRY BATH SPONGE ,Food & Dining,0.9984,The model identified patterns in the keywords: 'strawberry bath sponge'.
BLACK PIRATE TREASURE CHEST,Shopping,0.9993,The model identified patterns in the keywords: 'black pirate treasure chest'.
STAR PORTABLE TABLE LIGHT ,Shopping,0.8246,The model identified patterns in the keywords: 'star portable table light'.
SNOWFLAKE PORTABLE TABLE LIGHT ,Food & Dining,0.6182,The model identified patterns in the keywords: 'snowflake portable table light'.
PINK OVAL JEWELLED MIRROR,Shopping,0.9977,The model identified patterns in the keywords: 'pink oval jewelled mirror'.
RETROSPOT CIGAR BOX MATCHES ,Shopping,0.9526,The model identified patterns in the keywords: 'retrospot cigar matches'.
COSY HOUR GIANT TUBE MATCHES,Food & Dining,0.9994,The model identified patterns in the keywords: 'cosy hour giant tube matches'.
JAZZ HEARTS PURSE NOTEBOOK,Food & Dining,0.834,The model identified patterns in the keywords: 'jazz hearts purse notebook'.
LUNCH BAG DOLLY GIRL DESIGN,Other,0.5499,Model confidence was low; classified as Other.
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
CANDLEHOLDER PINK HANGING HEART,Food & Dining,0.9109,The model identified patterns in the keywords: 'candleholder pink hanging heart'.
WOOD 2 DRAWER CABINET WHITE FINISH,Shopping,0.9984,The model identified patterns in the keywords: 'wood drawer cabinet white finish'.
ASSORTED COLOUR MINI CASES,Shopping,0.9973,The model identified patterns in the keywords: 'assorted colour mini cases'.
LUNCH BAG RED RETROSPOT,Food & Dining,0.9936,The model identified patterns in the keywords: 'lunch retrospot'.
LUNCH BAG SPACEBOY DESIGN ,Food & Dining,0.9864,The model identified patterns in the keywords: 'lunch spaceboy design'.
LUNCH BAG WOODLAND,Food & Dining,0.9995,The model identified patterns in the keywords: 'lunch woodland'.
LUNCH BAG PINK POLKADOT,Food & Dining,0.995,The model identified patterns in the keywords: 'lunch pink polkadot'.
GUMBALL COAT RACK,Shopping,0.7485,The model identified patterns in the keywords: 'gumball coat rack'.
BLUE NEW BAROQUE CANDLESTICK CANDLE,Shopping,0.9661,The model identified patterns in the keywords: 'blue baroque candlestick candle'.
PINK NEW BAROQUECANDLESTICK CANDLE,Shopping,0.9971,The model identified patterns in the keywords: 'pink baroquecandlestick candle'.
FAIRY CAKE FLANNEL ASSORTED COLOUR,Food & Dining,0.997,The model identified patterns in the keywords: 'fairy cake flannel assorted colour'.
BREAD BIN DINER STYLE PINK,Food & Dining,0.9997,The model identified patterns in the keywords: 'bread diner style pink'.
JUMBO BAG CHARLIE AND LOLA TOYS,Transport,0.99,Matched known merchant 'ola'.
TEA TIME TABLE CLOTH,Food & Dining,0.9998,The model identified patterns in the keywords: 'time table cloth'.
ENGLISH ROSE HOT WATER BOTTLE,Food & Dining,0.9993,The model identified patterns in the keywords: 'english rose water bottle'.
ENAMEL FIRE BUCKET CREAM,Shopping,0.9754,The model identified patterns in the keywords: 'enamel fire bucket cream'.
PICNIC BASKET WICKER SMALL,Food & Dining,0.9906,The model identified patterns in the keywords: 'picnic basket wicker small'.
PAPER CHAIN KIT 50'S CHRISTMAS ,Shopping,0.9991,The model identified patterns in the keywords: 'paper chain 50's christmas'.
PAPER CHAIN KIT VINTAGE CHRISTMAS,Shopping,0.9993,The model identified patterns in the keywords: 'paper chain vintage christmas'.
HOT WATER BOTTLE BABUSHKA ,Other,0.5049,Model confidence was low; classified as Other.
HAND WARMER BIRD DESIGN,Food & Dining,0.9656,The model identified patterns in the keywords: 'hand warmer bird design'.
POSTAGE,Shopping,0.9713,The model identified patterns in the keywords: 'postage'.
HEART IVORY TRELLIS SMALL,Shopping,0.9984,The model identified patterns in the keywords: 'heart ivory trellis small'.
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,Shopping,0.9967,The model identified patterns in the keywords: 'clear drawer knob acrylic edwardian'.
PINK DRAWER KNOB ACRYLIC EDWARDIAN,Shopping,0.9988,The model identified patterns in the keywords: 'pink drawer knob acrylic edwardian'.
GREEN DRAWER KNOB ACRYLIC EDWARDIAN,Shopping,0.9988,The model identified patterns in the keywords: 'green drawer knob acrylic edwardian'.
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,Shopping,0.9989,The model identified patterns in the keywords: 'blue drawer knob acrylic edwardian'.
HEART OF WICKER SMALL,Food & Dining,0.7754,The model identified patterns in the keywords: 'heart wicker small'.
SMALL POPCORN HOLDER,Food & Dining,0.9989,The model identified patterns in the keywords: 'small popcorn holder'.
SET 6 FOOTBALL CELEBRATION CANDLES,Food & Dining,0.9829,The model identified patterns in the keywords: 'football celebration candles'.
SET OF 6 GIRLS CELEBRATION CANDLES,Food & Dining,0.9584,The model identified patterns in the keywords: 'girls celebration candles'.
ROMANTIC PINKS RIBBONS ,Shopping,0.9933,The model identified patterns in the keywords: 'romantic pinks ribbons'.
BRIGHT BLUES RIBBONS ,Food & Dining,0.9867,The model identified patterns in the keywords: 'bright blues ribbons'.
SCANDINAVIAN REDS RIBBONS,Shopping,0.6878,The model identified patterns in the keywords: 'scandinavian reds ribbons'.
CHOCOLATE BOX RIBBONS ,Transport,0.99,Matched known merchant 'ola'.
PARTY INVITES FOOTBALL,Food & Dining,0.9385,The model identified patterns in the keywords: 'party invites football'.
PARTY INVITES JAZZ HEARTS,Food & Dining,0.9931,The model identified patterns in the keywords: 'party invites jazz hearts'.
PARTY INVITES SPACEMAN,Food & Dining,0.8994,The model identified patterns in the keywords: 'party invites spaceman'.
SET OF 3 BUTTERFLY COOKIE CUTTERS,Shopping,0.7391,The model identified patterns in the keywords: 'butterfly cookie cutters'.
SET OF 3 HEART COOKIE CUTTERS,Food & Dining,0.9255,The model identified patterns in the keywords: 'heart cookie cutters'.
3 PIECE SPACEBOY COOKIE CUTTER SET,Food & Dining,0.8392,The model identified patterns in the keywords: 'piece spaceboy cookie cutter'.
PACK OF 72 SKULL CAKE CASES,Food & Dining,0.9985,The model identified patterns in the keywords: 'pack skull cake cases'.
PACK OF 60 SPACEBOY CAKE CASES,Food & Dining,0.9918,The model identified patterns in the keywords: 'pack spaceboy cake cases'.
PACK OF 72 RETROSPOT CAKE CASES,Food & Dining,0.9768,The model identified patterns in the keywords: 'pack retrospot cake cases'.
72 SWEETHEART FAIRY CAKE CASES,Food & Dining,0.9962,The model identified patterns in the keywords: 'sweetheart fairy cake cases'.
PACK OF 60 DINOSAUR CAKE CASES,Food & Dining,0.9118,The model identified patterns in the keywords: 'pack dinosaur cake cases'.
LUNCH BAG SUKI  DESIGN ,Food & Dining,0.9996,The model identified patterns in the keywords: 'lunch suki design'.
LUNCH BAG CARS BLUE,Food & Dining,0.9859,The model identified patterns in the keywords: 'lunch cars blue'.
LUNCH BAG  BLACK SKULL.,Food & Dining,0.9984,The model identified patterns in the keywords: 'lunch black skull.'.
HEART IVORY TRELLIS LARGE,Shopping,0.9984,The model identified patterns in the keywords: 'heart ivory trellis large'.
SET/5 RED RETROSPOT LID GLASS BOWLS,Food & Dining,0.6318,The model identified patterns in the keywords: 'set/5 retrospot glass bowls'.
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
WHITE METAL LANTERN,Bills & Utilities,0.9395,The model identified patterns in the keywords: 'white metal lantern'.
CREAM CUPID HEARTS COAT HANGER,Food & Dining,0.9975,The model identified patterns in the keywords: 'cream cupid hearts coat hanger'.
EDWARDIAN PARASOL RED,Food & Dining,0.9091,The model identified patterns in the keywords: 'edwardian parasol'.
RETRO COFFEE MUGS ASSORTED,Food & Dining,0.9976,The model identified patterns in the keywords: 'retro coffee mugs assorted'.
SAVE THE PLANET MUG,Other,0.5367,Model confidence was low; classified as Other.
VINTAGE BILLBOARD DRINK ME MUG,Shopping,0.9958,The model identified patterns in the keywords: 'vintage billboard drink'.
VINTAGE BILLBOARD LOVE/HATE MUG,Shopping,0.9997,The model identified patterns in the keywords: 'vintage billboard love/hate'.
WOOD 2 DRAWER CABINET WHITE FINISH,Shopping,0.9984,The model identified patterns in the keywords: 'wood drawer cabinet white finish'.
WOOD S/3 CABINET ANT WHITE FINISH,Shopping,0.9901,The model identified patterns in the keywords: 'wood cabinet white finish'.
WOODEN PICTURE FRAME WHITE FINISH,Shopping,0.9937,The model identified patterns in the keywords: 'wooden picture frame white finish'.
WOODEN FRAME ANTIQUE WHITE ,Shopping,0.9755,The model identified patterns in the keywords: 'wooden frame antique white'.
KNITTED UNION FLAG HOT WATER BOTTLE,Other,0.4616,Model confidence was low; classified as Other.
RED WOOLLY HOTTIE WHITE HEART.,Shopping,0.9573,The model identified patterns in the keywords: 'woolly hottie white heart.'.
SET 7 BABUSHKA NESTING BOXES,Shopping,0.9466,The model identified patterns in the keywords: 'babushka nesting boxes'.
IVORY EMBROIDERED QUILT ,Shopping,0.9985,The model identified patterns in the keywords: 'ivory embroidered quilt'.
GLASS STAR FROSTED T-LIGHT HOLDER,Other,0.5288,Model confidence was low; classified as Other.
HAND WARMER RED POLKA DOT,Food & Dining,0.7758,The model identified patterns in the keywords: 'hand warmer polka'.
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
MAGIC DRAWING SLATE DINOSAUR,Other,0.5302,Model confidence was low; classified as Other.
MAGIC DRAWING SLATE BAKE A CAKE ,Bills & Utilities,0.6933,The model identified patterns in the keywords: 'magic drawing slate bake cake'.
12 PENCILS TALL TUBE SKULLS,Shopping,0.968,The model identified patterns in the keywords: 'pencils tall tube skulls'.
CHOCOLATE CALCULATOR,Transport,0.99,Matched known merchant 'ola'.
RED  HARMONICA IN BOX ,Other,0.541,Model confidence was low; classified as Other.
BLUE HARMONICA IN BOX ,Food & Dining,0.9135,The model identified patterns in the keywords: 'blue harmonica'.
SKULLS  WATER TRANSFER TATTOOS ,Bills & Utilities,0.9673,The model identified patterns in the keywords: 'skulls water transfer tattoos'.
PACK 3 BOXES BIRD PANNETONE ,Food & Dining,0.7786,The model identified patterns in the keywords: 'pack boxes bird pannetone'.
HOT WATER BOTTLE TEA AND SYMPATHY,Food & Dining,0.9988,The model identified patterns in the keywords: 'water bottle sympathy'.
RED WOOLLY HOTTIE WHITE HEART.,Shopping,0.9573,The model identified patterns in the keywords: 'woolly hottie white heart.'.
WHITE SKULL HOT WATER BOTTLE ,Food & Dining,0.9908,The model identified patterns in the keywords: 'white skull water bottle'.
3 PIECE SPACEBOY COOKIE CUTTER SET,Food & Dining,0.8392,The model identified patterns in the keywords: 'piece spaceboy cookie cutter'.
SET OF 20 KIDS COOKIE CUTTERS,Shopping,0.983,The model identified patterns in the keywords: 'kids cookie cutters'.
10 COLOUR SPACEBOY PEN,Shopping,0.9417,The model identified patterns in the keywords: 'colour spaceboy'.
VICTORIAN GLASS HANGING T-LIGHT,Shopping,0.982,The model identified patterns in the keywords: 'victorian glass hanging t-light'.
SINGLE HEART ZINC T-LIGHT HOLDER,Food & Dining,0.6649,The model identified patterns in the keywords: 'single heart zinc t-light holder'.
RED HANGING HEART T-LIGHT HOLDER,Shopping,0.9264,The model identified patterns in the keywords: 'hanging heart t-light holder'.
HANGING METAL STAR LANTERN,Shopping,0.996,The model identified patterns in the keywords: 'hanging metal star lantern'.
SILVER HANGING T-LIGHT HOLDER,Shopping,0.9894,The model identified patterns in the keywords: 'silver hanging t-light holder'.
DOORMAT RED RETROSPOT,Shopping,0.9983,The model identified patterns in the keywords: 'doormat retrospot'.
DOORMAT HEARTS,Shopping,0.9989,The model identified patterns in the keywords: 'doormat hearts'.
NATURAL SLATE RECTANGLE CHALKBOARD,Other,0.5972,Model confidence was low; classified as Other.
LOVEBIRD HANGING DECORATION WHITE ,Shopping,0.9826,The model identified patterns in the keywords: 'lovebird hanging decoration white'.
ASSORTED COLOUR BIRD ORNAMENT,Shopping,0.9964,The model identified patterns in the keywords: 'assorted colour bird ornament'.
HOME BUILDING BLOCK WORD,Shopping,0.9757,The model identified patterns in the keywords: 'home building block word'.
LOVE BUILDING BLOCK WORD,Food & Dining,0.9879,The model identified patterns in the keywords: 'love building block word'.
PHOTO FRAME CORNICE,Shopping,0.9976,The model identified patterns in the keywords: 'photo frame cornice'.
PENS ASSORTED FUNNY FACE,Shopping,0.9991,The model identified patterns in the keywords: 'pens assorted funny face'.
CARD CIRCUS PARADE,Food & Dining,0.871,The model identified patterns in the keywords: 'card circus parade'.
WRAP COWBOYS  ,Shopping,0.9351,The model identified patterns in the keywords: 'wrap cowboys'.
AIRLINE BAG VINTAGE TOKYO 78,Transport,0.9421,The model identified patterns in the keywords: 'airline vintage tokyo'.
RED RETROSPOT UMBRELLA,Shopping,0.9729,The model identified patterns in the keywords: 'retrospot umbrella'.
BLACK/BLUE POLKADOT UMBRELLA,Food & Dining,0.844,The model identified patterns in the keywords: 'black/blue polkadot umbrella'.
RED 3 PIECE RETROSPOT CUTLERY SET,Shopping,0.9921,The model identified patterns in the keywords: 'piece retrospot cutlery'.
PACK OF 72 RETROSPOT CAKE CASES,Food & Dining,0.9768,The model identified patterns in the keywords: 'pack retrospot cake cases'.
SET OF 72 RETROSPOT PAPER  DOILIES,Other,0.5535,Model confidence was low; classified as Other.
BLUE COAT RACK PARIS FASHION,Shopping,0.9997,The model identified patterns in the keywords: 'blue coat rack paris fashion'.
PLASTERS IN TIN SKULLS,Shopping,0.9906,The model identified patterns in the keywords: 'plasters skulls'.
SLEEPING CAT ERASERS,Food & Dining,0.6716,The model identified patterns in the keywords: 'sleeping erasers'.
CARD BIRTHDAY COWBOY,Bills & Utilities,0.8201,The model identified patterns in the keywords: 'card birthday cowboy'.
PACK 3 BOXES CHRISTMAS PANNETONE,Shopping,0.9933,The model identified patterns in the keywords: 'pack boxes christmas pannetone'.
ROTATING SILVER ANGELS T-LIGHT HLDR,Shopping,0.924,The model identified patterns in the keywords: 'rotating silver angels t-light hldr'.
COSY HOUR GIANT TUBE MATCHES,Food & Dining,0.9994,The model identified patterns in the keywords: 'cosy hour giant tube matches'.
RIBBON REEL MAKING SNOWMEN ,Shopping,0.7499,The model identified patterns in the keywords: 'ribbon reel making snowmen'.
MINI PAINT SET VINTAGE ,Shopping,0.9965,The model identified patterns in the keywords: 'mini paint vintage'.
4 TRADITIONAL SPINNING TOPS,Food & Dining,0.9934,The model identified patterns in the keywords: 'traditional spinning tops'.
SET OF 6 SOLDIER SKITTLES,Shopping,0.6564,The model identified patterns in the keywords: 'soldier skittles'.
BAG 500g SWIRLY MARBLES,Shopping,0.987,The model identified patterns in the keywords: '500g swirly marbles'.
5 STRAND GLASS NECKLACE CRYSTAL,Shopping,0.9978,The model identified patterns in the keywords: 'strand glass necklace crystal'.
WHITE SKULL HOT WATER BOTTLE ,Food & Dining,0.9908,The model identified patterns in the keywords: 'white skull water bottle'.
SCOTTIE DOG HOT WATER BOTTLE,Food & Dining,0.9996,The model identified patterns in the keywords: 'scottie water bottle'.
SQUARECUSHION COVER PINK UNION FLAG,Shopping,0.9915,The model identified patterns in the keywords: 'squarecushion cover pink union flag'.
SPACEBOY CHILDRENS EGG CUP,Food & Dining,0.9991,The model identified patterns in the keywords: 'spaceboy childrens'.
CHILDREN'S SPACEBOY MUG,Food & Dining,0.8675,The model identified patterns in the keywords: 'children's spaceboy'.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
FELTCRAFT CUSHION OWL,Shopping,0.9989,The model identified patterns in the keywords: 'feltcraft cushion'.
BLACK CANDELABRA T-LIGHT HOLDER,Shopping,0.9898,The model identified patterns in the keywords: 'black candelabra t-light holder'.
TOY TIDY DOLLY GIRL DESIGN,Shopping,0.9997,The model identified patterns in the keywords: 'tidy dolly girl design'.
SET 12 LAVENDER  BOTANICAL T-LIGHTS,Other,0.491,Model confidence was low; classified as Other.
